account_id,account_age_days,has_profile_pic,has_bio,has_profile_bio_combined,followers,following,follower_following_ratio,num_posts,sleep_inactivity_window,interaction_time_variance,comment_template_reuse_rate,account_age_activity_ratio,burst_engagement_score,posting_time_entropy,comment_vocabulary_size,follower_growth_pattern,like_comment_ratio,hashtag_reuse_rate,username_digit_ratio,mutual_follower_ratio,night_activity_ratio,coordinated_posting_score,comment_relevance_score,content_diversity_score,follow_unfollow_churn_rate,ghost_follower_percentage,is_bot
user_000000,1040,1,1,1,1738,171,10.1637,516,0,0.7067,0.1334,2.0116,2.0,0.8278,1632,0.391,12.99,0.1637,0.0364,0.3734,0.1108,0.1812,0.7512,0.7019,0.203,0.0779,0
user_000001,1155,1,0,0,662,1317,0.5027,881,1,0.887,0.2201,1.3095,4.15,0.6046,900,0.3897,12.7,0.1914,0.0195,0.5737,0.138,0.0805,0.7733,0.612,0.2773,0.1018,0
user_000002,2,0,0,0,269,2000,0.1345,17,0,0.2849,0.9132,0.1111,35.93,0.3766,59,0.9534,1.52,0.7889,0.5934,0.1451,0.5428,0.6966,0.1889,0.1413,0.5063,0.5694,1
user_000003,827,0,1,0,2740,441,6.2132,724,1,0.7727,0.2816,1.1407,5.56,0.9202,500,0.287,6.97,0.1191,0.0622,0.4301,0.1959,0.2094,0.9105,0.7653,0.0799,0.1926,0
user_000004,142,0,0,0,24,1984,0.0121,31,0,0.1286,0.778,4.4375,46.76,0.1748,48,0.7686,0.25,0.7014,0.3806,0.1402,0.6232,0.8217,0.3614,0.3009,0.5746,0.757,1
user_000005,1709,1,1,1,2337,1298,1.8005,434,1,0.6922,0.2545,3.9287,7.03,0.6024,1779,0.2602,8.82,0.3077,0.0539,0.3977,0.0837,0.1047,0.7953,0.7413,0.0662,0.1008,0
user_000006,1589,1,0,0,798,162,4.9259,51,1,0.5232,0.1197,30.5577,7.36,0.6838,1453,0.2593,8.37,0.2659,0.1185,0.3323,0.1239,0.1105,0.8811,0.7646,0.2959,0.1298,0
user_000007,144,1,0,0,335,3011,0.1113,28,1,0.1315,0.6771,4.9655,39.89,0.3429,115,0.7289,1.89,0.7392,0.5589,0.1273,0.5703,0.8573,0.1627,0.2354,0.7783,0.4914,1
user_000008,803,1,1,1,2149,946,2.2717,353,1,0.7512,0.2707,2.2684,2.32,0.6976,1982,0.3178,13.77,0.3661,0.156,0.5568,0.0668,0.0904,0.9145,0.8123,0.0523,0.0703,0
user_000009,93,0,0,0,203,3369,0.0603,34,0,0.1061,0.8493,2.6571,23.3,0.1976,147,0.9233,1.47,0.7078,0.5713,0.0812,0.5545,0.6877,0.277,0.3447,0.6947,0.7624,1
